image_number,age_group,gender,race
00000.png,0,male,White
00001.png,5,female,White
00002.png,5,female,Asian
00003.png,0,female,White
00004.png,5,female,Asian
00005.png,7,male,White
00006.png,5,female,White
00007.png,1,female,Asian
00008.png,5,female,Asian
00009.png,6,male,Asian
00010.png,0,male,Asian
00011.png,7,male,White
00012.png,5,male,White
00013.png,1,male,Asian
00014.png,1,male,Asian
00015.png,5,male,White
00016.png,6,male,White
00017.png,6,female,Asian
00018.png,6,female,White
00019.png,5,male,Asian
00020.png,5,female,White
00021.png,8,male,White
00022.png,6,female,White
00023.png,7,male,White
00024.png,7,male,White
00025.png,6,female,White
00026.png,0,male,Asian
00027.png,7,male,Asian
00028.png,8,male,Black
00029.png,7,male,White
00030.png,1,male,Asian
00031.png,8,male,White
00032.png,6,female,White
00033.png,1,female,White
00034.png,8,male,Asian
00035.png,5,male,Asian
00036.png,7,male,White
00037.png,5,female,Asian
00038.png,0,male,White
00039.png,9,male,Asian
00040.png,6,male,White
00041.png,5,female,White
00042.png,6,male,White
00043.png,5,female,Asian
00044.png,7,male,White
00045.png,6,male,Asian
00046.png,6,male,Black
00047.png,6,female,Black
00048.png,6,male,White
00049.png,6,female,Asian
00050.png,1,male,White
00051.png,3,male,White
00052.png,7,male,Asian
00053.png,4,male,White
00054.png,0,female,White
00055.png,5,female,Asian
00056.png,5,male,White
00057.png,6,male,White
00058.png,6,male,White
00059.png,7,female,White
00060.png,8,male,Black
00061.png,8,male,White
00062.png,8,male,White
00063.png,7,male,White
00064.png,5,male,White
00065.png,5,male,White
00066.png,5,female,Asian
00067.png,6,female,Asian
00068.png,1,male,White
00069.png,7,male,White
00070.png,0,male,White
00071.png,2,female,White
00072.png,2,female,White
00073.png,5,female,White
00074.png,6,male,White
00075.png,6,female,White
00076.png,4,female,White
00077.png,5,female,White
00078.png,7,male,White
00079.png,9,female,White
00080.png,5,female,Asian
00081.png,6,female,White
00082.png,8,male,White
00083.png,5,male,Asian
00084.png,8,female,White
00085.png,5,female,Asian
00086.png,3,male,Asian
00087.png,5,female,White
00088.png,8,male,White
00089.png,5,female,White
00090.png,2,female,Asian
00091.png,5,female,White
00092.png,6,male,Black
00093.png,5,male,White
00094.png,5,female,White
00095.png,4,female,Asian
00096.png,5,female,Asian
00097.png,4,female,White
00098.png,7,male,Asian
00099.png,5,female,Asian
00100.png,6,male,White
00101.png,8,female,White
00102.png,0,male,White
